Majority_protein_IDs	Fasta_headers	Score	id	Phospho_(STY)_site_IDs	Description	Gene_name	Uniprot_ID
sp|Q8NC51|PAIRB_HUMAN;tr|D3DQ70|D3DQ70_HUMAN	sp|Q8NC51|PAIRB_HUMAN Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2;tr|D3DQ70|D3DQ70_HUMAN SERPINE1 mRNA binding protein 1, isoform CRA_d OS=Homo sapiens OX=9606 GN=SERBP1 PE=4 SV=1	136.52	3621	4096;4097;4098;4099;4100	Plasminogen activator inhibitor 1 RNA-binding protein	SERBP1	Q8NC51
tr|A0A024RCZ1|A0A024RCZ1_HUMAN;sp|Q8NC56|LEMD2_HUMAN;tr|H7C2Z0|H7C2Z0_HUMAN;tr|A0A220T1R7|A0A220T1R7_HUMAN	tr|A0A024RCZ1|A0A024RCZ1_HUMAN LEM domain containing 2, isoform CRA_a OS=Homo sapiens OX=9606 GN=LEMD2 PE=4 SV=1;sp|Q8NC56|LEMD2_HUMAN LEM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=LEMD2 PE=1 SV=1;tr|H7C2Z0|H7C2Z0_HUMAN LEM domain-containing p	8.4966	3622	4101	LEM domain containing 2, isoform CRA_a	LEMD2	A0A024RCZ1
tr|B3KY51|B3KY51_HUMAN;sp|Q8NC60|NOA1_HUMAN	tr|B3KY51|B3KY51_HUMAN cDNA FLJ46863 fis, clone UTERU3011558 OS=Homo sapiens OX=9606 PE=2 SV=1;sp|Q8NC60|NOA1_HUMAN Nitric oxide-associated protein 1 OS=Homo sapiens OX=9606 GN=NOA1 PE=1 SV=2	2.5376	3623	NA	cDNA FLJ46863 fis, clone UTERU3011558	NOA1	B3KY51
tr|F5GYH1|F5GYH1_HUMAN;tr|A0A1W2PRM0|A0A1W2PRM0_HUMAN;tr|A0A1W2PRL5|A0A1W2PRL5_HUMAN;tr|A0A1W2PR09|A0A1W2PR09_HUMAN;sp|Q8NC96|NECP1_HUMAN;tr|A0A1W2PR27|A0A1W2PR27_HUMAN;tr|A0A1W2PPF5|A0A1W2PPF5_HUMAN;tr|A0A1W2PRQ7|A0A1W2PRQ7_HUMAN;tr|B4E160|B4E160_HUMAN;tr|A0A1W2PNT6|A0A1W2PNT6_HUMAN	tr|F5GYH1|F5GYH1_HUMAN Adaptin ear-binding coat-associated protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=NECAP1 PE=1 SV=2;tr|A0A1W2PRM0|A0A1W2PRM0_HUMAN Adaptin ear-binding coat-associated protein 1 OS=Homo sapiens OX=9606 GN=NECAP1 PE=1 SV=1;tr|A0A1W2PR	2.1931	3624	NA	Adaptin ear-binding coat-associated protein 1 (Fragment)	NECAP1	F5GYH1
tr|E9PH82|E9PH82_HUMAN;tr|I6L9E8|I6L9E8_HUMAN;sp|Q8NCA5|FA98A_HUMAN;tr|Q05CT2|Q05CT2_HUMAN;tr|B4DT23|B4DT23_HUMAN;tr|B4DY25|B4DY25_HUMAN	tr|E9PH82|E9PH82_HUMAN Protein FAM98A OS=Homo sapiens OX=9606 GN=FAM98A PE=1 SV=1;tr|I6L9E8|I6L9E8_HUMAN Family with sequence similarity 98, member A OS=Homo sapiens OX=9606 GN=FAM98A PE=2 SV=1;sp|Q8NCA5|FA98A_HUMAN Protein FAM98A OS=Homo sapiens OX=9606 G	30.155	3625	NA	Protein FAM98A	FAM98A	E9PH82
tr|K7EQ92|K7EQ92_HUMAN;sp|Q8NCA9|ZN784_HUMAN	tr|K7EQ92|K7EQ92_HUMAN Zinc finger protein 784 OS=Homo sapiens OX=9606 GN=ZNF784 PE=1 SV=1;sp|Q8NCA9|ZN784_HUMAN Zinc finger protein 784 OS=Homo sapiens OX=9606 GN=ZNF784 PE=1 SV=1	-2	3626	4102	Zinc finger protein 784	ZNF784	K7EQ92
sp|Q8NCD3|HJURP_HUMAN;tr|C9JWC4|C9JWC4_HUMAN	sp|Q8NCD3|HJURP_HUMAN Holliday junction recognition protein OS=Homo sapiens OX=9606 GN=HJURP PE=1 SV=2;tr|C9JWC4|C9JWC4_HUMAN Holliday junction recognition protein (Fragment) OS=Homo sapiens OX=9606 GN=HJURP PE=1 SV=1	14.27	3627	4103;4104;4105	Holliday junction recognition protein	HJURP	Q8NCD3
sp|Q8NCE2|MTMRE_HUMAN;tr|Q8WYY9|Q8WYY9_HUMAN;tr|C9JSR1|C9JSR1_HUMAN	sp|Q8NCE2|MTMRE_HUMAN Myotubularin-related protein 14 OS=Homo sapiens OX=9606 GN=MTMR14 PE=1 SV=2;tr|Q8WYY9|Q8WYY9_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=2 SV=1;tr|C9JSR1|C9JSR1_HUMAN Myotubularin-related protein 14 OS=Homo sapiens OX=960	9.871	3628	NA	Myotubularin-related protein 14	MTMR14	Q8NCE2
sp|Q8NCF5|NF2IP_HUMAN;tr|B7Z8Y9|B7Z8Y9_HUMAN	sp|Q8NCF5|NF2IP_HUMAN NFATC2-interacting protein OS=Homo sapiens OX=9606 GN=NFATC2IP PE=1 SV=1;tr|B7Z8Y9|B7Z8Y9_HUMAN cDNA FLJ57775, highly similar to Homo sapiens nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protei	28.814	3629	4106;4107;4108;4109	NFATC2-interacting protein	NFATC2IP	Q8NCF5
tr|B4DVJ1|B4DVJ1_HUMAN;tr|B4DVH8|B4DVH8_HUMAN;tr|A0A024QZX9|A0A024QZX9_HUMAN;tr|B4DQQ6|B4DQQ6_HUMAN;tr|E7ET49|E7ET49_HUMAN;sp|Q8NCG7|DGLB_HUMAN;tr|B3KRA0|B3KRA0_HUMAN	tr|B4DVJ1|B4DVJ1_HUMAN cDNA FLJ52774, highly similar to Homo sapiens diacylglycerol lipase beta OS=Homo sapiens OX=9606 PE=2 SV=1;tr|B4DVH8|B4DVH8_HUMAN cDNA FLJ53216, highly similar to Homo sapiens diacylglycerol lipase beta OS=Homo sapiens OX=9606 PE=2 S	5.3132	3630	NA	cDNA FLJ52774, highly similar to Homo sapiens diacylglycerol lipase beta	NA	B4DVJ1
tr|B4DZL5|B4DZL5_HUMAN;tr|A8MT40|A8MT40_HUMAN;sp|Q8NCN5|PDPR_HUMAN;tr|Q9NWE6|Q9NWE6_HUMAN	tr|B4DZL5|B4DZL5_HUMAN cDNA FLJ50312, highly similar to Homo sapiens pyruvate dehydrogenase phosphatase regulatory subunit (PDPR), mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A8MT40|A8MT40_HUMAN Pyruvate dehydrogenase phosphatase regulatory subunit, mitochon	9.2486	3631	NA	cDNA FLJ50312, highly similar to Homo sapiens pyruvate dehydrogenase phosphatase regulatory subunit (PDPR), mRNA	NA	B4DZL5
sp|Q8NCR6|SMRP1_HUMAN	sp|Q8NCR6|SMRP1_HUMAN Spermatid-specific manchette-related protein 1 OS=Homo sapiens OX=9606 GN=SMRP1 PE=1 SV=2	-2	3632	NA	Spermatid-specific manchette-related protein 1	SMRP1	Q8NCR6
tr|A0A2R8YCV2|A0A2R8YCV2_HUMAN;sp|Q8NCS4|TM35B_HUMAN	tr|A0A2R8YCV2|A0A2R8YCV2_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1;sp|Q8NCS4|TM35B_HUMAN Transmembrane protein 35B OS=Homo sapiens OX=9606 GN=TMEM35B PE=1 SV=1	4.0719	3633	NA	Uncharacterized protein	TMEM35B	A0A2R8YCV2
sp|Q8NCW5|NNRE_HUMAN;tr|B4DP80|B4DP80_HUMAN	sp|Q8NCW5|NNRE_HUMAN NAD(P)H-hydrate epimerase OS=Homo sapiens OX=9606 GN=NAXE PE=1 SV=2;tr|B4DP80|B4DP80_HUMAN NAD(P)H-hydrate epimerase OS=Homo sapiens OX=9606 GN=APOA1BP PE=2 SV=1	15.457	3634	NA	NAD(P)H-hydrate epimerase	NAXE	Q8NCW5
sp|Q8ND04|SMG8_HUMAN;tr|J3KTD7|J3KTD7_HUMAN	sp|Q8ND04|SMG8_HUMAN Protein SMG8 OS=Homo sapiens OX=9606 GN=SMG8 PE=1 SV=1;tr|J3KTD7|J3KTD7_HUMAN Protein SMG8 (Fragment) OS=Homo sapiens OX=9606 GN=SMG8 PE=1 SV=1	10.038	3635	4110;4111	Protein SMG8	SMG8	Q8ND04
sp|Q8ND24|RN214_HUMAN;tr|A0A024R3D4|A0A024R3D4_HUMAN;tr|E9PN76|E9PN76_HUMAN	sp|Q8ND24|RN214_HUMAN RING finger protein 214 OS=Homo sapiens OX=9606 GN=RNF214 PE=1 SV=2;tr|A0A024R3D4|A0A024R3D4_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 GN=DKFZp547C195 PE=4 SV=1;tr|E9PN76|E9PN76_HUMAN RING finger protein 214 OS=Homo sapien	8.315	3636	NA	RING finger protein 214	RNF214	Q8ND24
sp|Q8ND56|LS14A_HUMAN	sp|Q8ND56|LS14A_HUMAN Protein LSM14 homolog A OS=Homo sapiens OX=9606 GN=LSM14A PE=1 SV=3	40.025	3637	4112;4113;4114;4115;8115	Protein LSM14 homolog A	LSM14A	Q8ND56
tr|B7Z8E4|B7Z8E4_HUMAN;tr|B2RBH6|B2RBH6_HUMAN;sp|Q8ND76|CCNY_HUMAN	tr|B7Z8E4|B7Z8E4_HUMAN cDNA FLJ54216, highly similar to Cyclin fold protein 1 OS=Homo sapiens OX=9606 PE=2 SV=1;tr|B2RBH6|B2RBH6_HUMAN cDNA, FLJ95513, highly similar to Homo sapiens cyclin fold protein 1 (CFP1), mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;sp|Q8	3.2056	3638	4116;4117	cDNA FLJ54216, highly similar to Cyclin fold protein 1	NA	B7Z8E4
tr|Q9UJJ2|Q9UJJ2_HUMAN;sp|Q8ND82|Z280C_HUMAN	tr|Q9UJJ2|Q9UJJ2_HUMAN Zinc finger protein 280C (Fragment) OS=Homo sapiens OX=9606 GN=ZNF280C PE=1 SV=1;sp|Q8ND82|Z280C_HUMAN Zinc finger protein 280C OS=Homo sapiens OX=9606 GN=ZNF280C PE=1 SV=1	9.3559	3639	4118;8116	Zinc finger protein 280C (Fragment)	ZNF280C	Q9UJJ2
sp|Q8NDB2|BANK1_HUMAN	sp|Q8NDB2|BANK1_HUMAN B-cell scaffold protein with ankyrin repeats OS=Homo sapiens OX=9606 GN=BANK1 PE=1 SV=3	-2	3640	8117;8983;8984	B-cell scaffold protein with ankyrin repeats	BANK1	Q8NDB2
sp|Q8NDC0|MISSL_HUMAN	sp|Q8NDC0|MISSL_HUMAN MAPK-interacting and spindle-stabilizing protein-like OS=Homo sapiens OX=9606 GN=MAPK1IP1L PE=1 SV=4	3.0942	3641	4119	MAPK-interacting and spindle-stabilizing protein-like	MAPK1IP1L	Q8NDC0
tr|B4DRJ7|B4DRJ7_HUMAN;tr|Q5EBM7|Q5EBM7_HUMAN;tr|Q53F79|Q53F79_HUMAN;tr|A0A024R6Q7|A0A024R6Q7_HUMAN;sp|Q8NDF8|PAPD5_HUMAN;tr|H3BQM0|H3BQM0_HUMAN;tr|G4U4J3|G4U4J3_HUMAN;tr|B7ZLC1|B7ZLC1_HUMAN;tr|E9PC61|E9PC61_HUMAN	tr|B4DRJ7|B4DRJ7_HUMAN cDNA FLJ55033, highly similar to Homo sapiens PAP associated domain containing 5 (PAPD5), transcript variant 1, mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;tr|Q5EBM7|Q5EBM7_HUMAN PAPD5 protein (Fragment) OS=Homo sapiens OX=9606 GN=PAPD5 P	2.2306	3642	NA	cDNA FLJ55033, highly similar to Homo sapiens PAP associated domain containing 5 (PAPD5), transcript variant 1, mRNA	NA	B4DRJ7
tr|A8K930|A8K930_HUMAN;tr|A0A140VK17|A0A140VK17_HUMAN;sp|Q8NDI1|EHBP1_HUMAN	tr|A8K930|A8K930_HUMAN cDNA FLJ75500, highly similar to Homo sapiens EH domain binding protein 1, mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A140VK17|A0A140VK17_HUMAN EH domain binding protein 1, isoform CRA_a OS=Homo sapiens OX=9606 GN=EHBP1 PE=2 SV=1;sp	9.8599	3643	4120;4121;8118	cDNA FLJ75500, highly similar to Homo sapiens EH domain binding protein 1, mRNA	EHBP1	A8K930
tr|Q59G87|Q59G87_HUMAN;tr|Q9NVI3|Q9NVI3_HUMAN;tr|B3KR20|B3KR20_HUMAN;sp|Q8NDN9|RCBT1_HUMAN	tr|Q59G87|Q59G87_HUMAN Regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1 variant (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1;tr|Q9NVI3|Q9NVI3_HUMAN cDNA FLJ10716 fis, clone NT2RP3001081 OS=Homo sapiens OX=9606 PE=2 SV=1	4.059	3644	NA	Regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1 variant (Fragment)	NA	Q59G87
sp|Q8NDT2|RB15B_HUMAN	sp|Q8NDT2|RB15B_HUMAN Putative RNA-binding protein 15B OS=Homo sapiens OX=9606 GN=RBM15B PE=1 SV=3	18.071	3645	4122;4123;4124;4125;4126;4127	Putative RNA-binding protein 15B	RBM15B	Q8NDT2
sp|Q8NDV3|SMC1B_HUMAN	sp|Q8NDV3|SMC1B_HUMAN Structural maintenance of chromosomes protein 1B OS=Homo sapiens OX=9606 GN=SMC1B PE=2 SV=2	2.8547	3646	NA	Structural maintenance of chromosomes protein 1B	SMC1B	Q8NDV3
sp|Q8NDV7|TNR6A_HUMAN;tr|H7C269|H7C269_HUMAN	sp|Q8NDV7|TNR6A_HUMAN Trinucleotide repeat-containing gene 6A protein OS=Homo sapiens OX=9606 GN=TNRC6A PE=1 SV=2;tr|H7C269|H7C269_HUMAN Trinucleotide repeat-containing gene 6A protein (Fragment) OS=Homo sapiens OX=9606 GN=TNRC6A PE=1 SV=1	3.5168	3647	4128;4129	Trinucleotide repeat-containing gene 6A protein	TNRC6A	Q8NDV7
sp|Q8NDX1|PSD4_HUMAN;tr|Q59HG0|Q59HG0_HUMAN;tr|A0A024R521|A0A024R521_HUMAN	sp|Q8NDX1|PSD4_HUMAN PH and SEC7 domain-containing protein 4 OS=Homo sapiens OX=9606 GN=PSD4 PE=1 SV=2;tr|Q59HG0|Q59HG0_HUMAN Pleckstrin and Sec7 domain containing 4 variant (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A024R521|A0A024R521_HUMAN Plecks	6.602	3648	4130;4131;4132;4133	PH and SEC7 domain-containing protein 4	PSD4	Q8NDX1
tr|B4DYD1|B4DYD1_HUMAN;tr|E7EX82|E7EX82_HUMAN;tr|B4E2T1|B4E2T1_HUMAN;tr|A5YM43|A5YM43_HUMAN;sp|Q8NDX5|PHC3_HUMAN	tr|B4DYD1|B4DYD1_HUMAN cDNA FLJ57231, moderately similar to Homo sapiens polyhomeotic like 3 (PHC3), mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;tr|E7EX82|E7EX82_HUMAN Polyhomeotic-like protein 3 OS=Homo sapiens OX=9606 GN=PHC3 PE=1 SV=1;tr|B4E2T1|B4E2T1_HUMAN	3.3948	3649	4134;4135;4136	cDNA FLJ57231, moderately similar to Homo sapiens polyhomeotic like 3 (PHC3), mRNA	PHC3	B4DYD1
sp|Q8NDX6|ZN740_HUMAN	sp|Q8NDX6|ZN740_HUMAN Zinc finger protein 740 OS=Homo sapiens OX=9606 GN=ZNF740 PE=1 SV=1	2.3034	3650	4137	Zinc finger protein 740	ZNF740	Q8NDX6
tr|D6RBE8|D6RBE8_HUMAN;tr|B7Z2B1|B7Z2B1_HUMAN;tr|D6RAK4|D6RAK4_HUMAN;tr|B7Z6A5|B7Z6A5_HUMAN;tr|B7Z6T3|B7Z6T3_HUMAN;sp|Q8NDZ6|T161B_HUMAN;tr|E9PCX5|E9PCX5_HUMAN;tr|B7Z6X1|B7Z6X1_HUMAN	tr|D6RBE8|D6RBE8_HUMAN Transmembrane protein 161B OS=Homo sapiens OX=9606 GN=TMEM161B PE=1 SV=1;tr|B7Z2B1|B7Z2B1_HUMAN cDNA FLJ57299 OS=Homo sapiens OX=9606 PE=2 SV=1;tr|D6RAK4|D6RAK4_HUMAN Transmembrane protein 161B OS=Homo sapiens OX=9606 GN=TMEM161B PE=	2.1341	3651	NA	Transmembrane protein 161B	TMEM161B	D6RBE8
sp|Q8NE01|CNNM3_HUMAN	sp|Q8NE01|CNNM3_HUMAN Metal transporter CNNM3 OS=Homo sapiens OX=9606 GN=CNNM3 PE=1 SV=1	4.5802	3652	4138	Metal transporter CNNM3	CNNM3	Q8NE01
tr|H0YGW3|H0YGW3_HUMAN;tr|B4DSU7|B4DSU7_HUMAN;tr|B7Z2K3|B7Z2K3_HUMAN;tr|A8K181|A8K181_HUMAN;sp|Q8NE31|FA13C_HUMAN;tr|A0A087X216|A0A087X216_HUMAN;tr|A0A087X0M7|A0A087X0M7_HUMAN	tr|H0YGW3|H0YGW3_HUMAN Protein FAM13C (Fragment) OS=Homo sapiens OX=9606 GN=FAM13C PE=4 SV=1;tr|B4DSU7|B4DSU7_HUMAN cDNA FLJ60866, highly similar to Protein FAM13C1 OS=Homo sapiens OX=9606 PE=2 SV=1;tr|B7Z2K3|B7Z2K3_HUMAN cDNA FLJ54631, highly similar to P	-2	3653	4139	Protein FAM13C (Fragment)	FAM13C	H0YGW3
sp|Q8NE62|CHDH_HUMAN;tr|A0A024R301|A0A024R301_HUMAN;tr|B4DMQ4|B4DMQ4_HUMAN	sp|Q8NE62|CHDH_HUMAN Choline dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=CHDH PE=1 SV=2;tr|A0A024R301|A0A024R301_HUMAN Choline dehydrogenase, isoform CRA_a OS=Homo sapiens OX=9606 GN=CHDH PE=3 SV=1;tr|B4DMQ4|B4DMQ4_HUMAN cDNA FLJ61138, highly s	4.4815	3654	NA	Choline dehydrogenase, mitochondrial	CHDH	Q8NE62
tr|A0A1U9X609|A0A1U9X609_HUMAN;sp|Q8NE71|ABCF1_HUMAN;tr|Q2L6I2|Q2L6I2_HUMAN;tr|B4DNU2|B4DNU2_HUMAN;tr|Q59F96|Q59F96_HUMAN;tr|H0YGW7|H0YGW7_HUMAN	tr|A0A1U9X609|A0A1U9X609_HUMAN ABCF1 OS=Homo sapiens OX=9606 PE=4 SV=1;sp|Q8NE71|ABCF1_HUMAN ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2;tr|Q2L6I2|Q2L6I2_HUMAN ABC50 protein OS=Homo sapiens OX=9606 GN=ABCF1 PE=4 SV	323.31	3655	4140;4141;4142;4143;4144;4145;8119;8120	ABCF1	ABCF1	A0A1U9X609
sp|Q8NE86|MCU_HUMAN;tr|S4R468|S4R468_HUMAN	sp|Q8NE86|MCU_HUMAN Calcium uniporter protein, mitochondrial OS=Homo sapiens OX=9606 GN=MCU PE=1 SV=1;tr|S4R468|S4R468_HUMAN Calcium uniporter protein, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MCU PE=1 SV=1	9.4592	3656	NA	Calcium uniporter protein, mitochondrial	MCU	Q8NE86
tr|B4DPV9|B4DPV9_HUMAN;tr|A8MYT4|A8MYT4_HUMAN;sp|Q8NEB9|PK3C3_HUMAN;tr|A0A1W2PS05|A0A1W2PS05_HUMAN	tr|B4DPV9|B4DPV9_HUMAN Phosphatidylinositol 3-kinase catalytic subunit type 3 OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A8MYT4|A8MYT4_HUMAN Phosphatidylinositol 3-kinase catalytic subunit type 3 OS=Homo sapiens OX=9606 GN=PIK3C3 PE=1 SV=2;sp|Q8NEB9|PK3C3_HUMAN	20.593	3657	4146;4147	Phosphatidylinositol 3-kinase catalytic subunit type 3	PIK3C3	B4DPV9
sp|Q8NEF9|SRFB1_HUMAN	sp|Q8NEF9|SRFB1_HUMAN Serum response factor-binding protein 1 OS=Homo sapiens OX=9606 GN=SRFBP1 PE=1 SV=1	2.4244	3658	4148	Serum response factor-binding protein 1	SRFBP1	Q8NEF9
sp|Q8NEJ9|NGDN_HUMAN;tr|H0YJ17|H0YJ17_HUMAN	sp|Q8NEJ9|NGDN_HUMAN Neuroguidin OS=Homo sapiens OX=9606 GN=NGDN PE=1 SV=1;tr|H0YJ17|H0YJ17_HUMAN Neuroguidin (Fragment) OS=Homo sapiens OX=9606 GN=NGDN PE=1 SV=1	52.676	3659	4149;4150;4151	Neuroguidin	NGDN	Q8NEJ9
tr|Q2PNX9|Q2PNX9_HUMAN;tr|A0A087X0H7|A0A087X0H7_HUMAN;tr|D3K5P3|D3K5P3_HUMAN;sp|Q8NEL9|DDHD1_HUMAN;tr|Q2VYF2|Q2VYF2_HUMAN	tr|Q2PNX9|Q2PNX9_HUMAN Phosphatidic acid-preferring phospholipase A1 OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A087X0H7|A0A087X0H7_HUMAN Phospholipase DDHD1 OS=Homo sapiens OX=9606 GN=DDHD1 PE=1 SV=1;tr|D3K5P3|D3K5P3_HUMAN Phosphatidic acid-preferring phospho	9.1055	3660	4152;4153;8121	Phosphatidic acid-preferring phospholipase A1	DDHD1	Q2PNX9
tr|B2RDX0|B2RDX0_HUMAN;tr|A8K7Z9|A8K7Z9_HUMAN;tr|A0A024R6R1|A0A024R6R1_HUMAN;sp|Q8NEM2|SHCBP_HUMAN	tr|B2RDX0|B2RDX0_HUMAN cDNA, FLJ96805, highly similar to Homo sapiens SHC SH2-domain binding protein 1 (SHCBP1), mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A8K7Z9|A8K7Z9_HUMAN cDNA FLJ78530, highly similar to Homo sapiens SHC SH2-domain binding protein 1 (S	7.2941	3661	NA	cDNA, FLJ96805, highly similar to Homo sapiens SHC SH2-domain binding protein 1 (SHCBP1), mRNA	NA	B2RDX0
tr|F8W7R4|F8W7R4_HUMAN;sp|Q8NEM8|CBPC3_HUMAN	tr|F8W7R4|F8W7R4_HUMAN Cytosolic carboxypeptidase 3 OS=Homo sapiens OX=9606 GN=AGBL3 PE=4 SV=1;sp|Q8NEM8|CBPC3_HUMAN Cytosolic carboxypeptidase 3 OS=Homo sapiens OX=9606 GN=AGBL3 PE=2 SV=2	-2	3662	8985	Cytosolic carboxypeptidase 3	AGBL3	F8W7R4
sp|Q8NEW0|ZNT7_HUMAN;tr|H0Y362|H0Y362_HUMAN	sp|Q8NEW0|ZNT7_HUMAN Zinc transporter 7 OS=Homo sapiens OX=9606 GN=SLC30A7 PE=2 SV=1;tr|H0Y362|H0Y362_HUMAN Zinc transporter 7 (Fragment) OS=Homo sapiens OX=9606 GN=SLC30A7 PE=1 SV=2	2.9825	3663	NA	Zinc transporter 7	SLC30A7	Q8NEW0
sp|Q8NEZ2|VP37A_HUMAN;tr|E5RJ10|E5RJ10_HUMAN;tr|E5RHB8|E5RHB8_HUMAN;tr|E5RJX6|E5RJX6_HUMAN;tr|B3KW95|B3KW95_HUMAN;tr|H0YBN0|H0YBN0_HUMAN;tr|E5RG91|E5RG91_HUMAN	sp|Q8NEZ2|VP37A_HUMAN Vacuolar protein sorting-associated protein 37A OS=Homo sapiens OX=9606 GN=VPS37A PE=1 SV=1;tr|E5RJ10|E5RJ10_HUMAN Vacuolar protein sorting-associated protein 37A OS=Homo sapiens OX=9606 GN=VPS37A PE=1 SV=1;tr|E5RHB8|E5RHB8_HUMAN Vacu	5.43	3664	4154	Vacuolar protein sorting-associated protein 37A	VPS37A	Q8NEZ2
tr|H7BY37|H7BY37_HUMAN;sp|Q8NEZ4|KMT2C_HUMAN;tr|H0Y765|H0Y765_HUMAN	tr|H7BY37|H7BY37_HUMAN Histone-lysine N-methyltransferase 2C (Fragment) OS=Homo sapiens OX=9606 GN=KMT2C PE=1 SV=1;sp|Q8NEZ4|KMT2C_HUMAN Histone-lysine N-methyltransferase 2C OS=Homo sapiens OX=9606 GN=KMT2C PE=1 SV=3;tr|H0Y765|H0Y765_HUMAN Histone-lysine	4.6381	3665	4155;4156	Histone-lysine N-methyltransferase 2C (Fragment)	KMT2C	H7BY37
tr|Q53EY9|Q53EY9_HUMAN;sp|Q8NEZ5|FBX22_HUMAN;tr|H3BTH6|H3BTH6_HUMAN	tr|Q53EY9|Q53EY9_HUMAN F-box only protein 22 isoform a variant (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;sp|Q8NEZ5|FBX22_HUMAN F-box only protein 22 OS=Homo sapiens OX=9606 GN=FBXO22 PE=1 SV=1;tr|H3BTH6|H3BTH6_HUMAN F-box only protein 22 (Fragment) OS=H	14.098	3666	NA	F-box only protein 22 isoform a variant (Fragment)	FBXO22	Q53EY9
sp|Q8NF37|PCAT1_HUMAN;tr|A0A0G2JRI7|A0A0G2JRI7_HUMAN;tr|D3DTC2|D3DTC2_HUMAN;tr|A0A0G2JQ62|A0A0G2JQ62_HUMAN	sp|Q8NF37|PCAT1_HUMAN Lysophosphatidylcholine acyltransferase 1 OS=Homo sapiens OX=9606 GN=LPCAT1 PE=1 SV=2;tr|A0A0G2JRI7|A0A0G2JRI7_HUMAN Lysophosphatidylcholine acyltransferase 1 OS=Homo sapiens OX=9606 GN=LPCAT1 PE=1 SV=1;tr|D3DTC2|D3DTC2_HUMAN Acyltran	33.582	3667	NA	Lysophosphatidylcholine acyltransferase 1	LPCAT1	Q8NF37
tr|D3DRH1|D3DRH1_HUMAN;tr|A0A2X0SFD1|A0A2X0SFD1_HUMAN;sp|Q8NF50|DOCK8_HUMAN;tr|A2A369|A2A369_HUMAN	tr|D3DRH1|D3DRH1_HUMAN Dedicator of cytokinesis 8, isoform CRA_a OS=Homo sapiens OX=9606 GN=DOCK8 PE=3 SV=1;tr|A0A2X0SFD1|A0A2X0SFD1_HUMAN DOCK8 (Fragment) OS=Homo sapiens OX=9606 GN=DOCK8 PE=3 SV=1;sp|Q8NF50|DOCK8_HUMAN Dedicator of cytokinesis protein 8	67.569	3668	4157;4158;4159;4160;4161;4162;8122	Dedicator of cytokinesis 8, isoform CRA_a	DOCK8	D3DRH1
sp|Q8NFC6|BD1L1_HUMAN	sp|Q8NFC6|BD1L1_HUMAN Biorientation of chromosomes in cell division protein 1-like 1 OS=Homo sapiens OX=9606 GN=BOD1L1 PE=1 SV=2	72.525	3669	4163;4164;4165;4166;4167;4168;4169;4170;4171;4172;4173;4174;4175;4176	Biorientation of chromosomes in cell division protein 1-like 1	BOD1L1	Q8NFC6
sp|Q8NFD5|ARI1B_HUMAN;tr|A0A3F2YNW7|A0A3F2YNW7_HUMAN;tr|A0A1B0GV63|A0A1B0GV63_HUMAN;tr|A0A1B0GWJ2|A0A1B0GWJ2_HUMAN;tr|A0A1B0GTJ8|A0A1B0GTJ8_HUMAN;tr|A0A1B0GVK1|A0A1B0GVK1_HUMAN;tr|H0Y7H8|H0Y7H8_HUMAN	sp|Q8NFD5|ARI1B_HUMAN AT-rich interactive domain-containing protein 1B OS=Homo sapiens OX=9606 GN=ARID1B PE=1 SV=2;tr|A0A3F2YNW7|A0A3F2YNW7_HUMAN AT-rich interactive domain-containing protein 1B OS=Homo sapiens OX=9606 GN=ARID1B PE=1 SV=1;tr|A0A1B0GV63|A0A	4.5746	3670	NA	AT-rich interactive domain-containing protein 1B	ARID1B	Q8NFD5
